"가계수지항목별",2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4,2023.1/4,2023.1/4,2023.1/4
"가계수지항목별",전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
"가구원수 (명)",2.42,2.61,2.18,2.41,2.56,2.19,2.42,2.56,2.22,2.42,2.55,2.22,2.40,2.53,2.22,2.40,2.52,2.25,2.40,2.52,2.24,2.39,2.49,2.25,2.37,2.49,2.22,2.37,2.48,2.21,2.37,2.47,2.22,2.36,2.47,2.22,2.33,2.44,2.18,2.33,2.43,2.18,2.33,2.43,2.17,2.33,2.44,2.16,2.27,2.39,2.09
"가구주연령 (세)",52.20,46.71,59.57,52.15,47.60,58.90,52.03,47.17,58.99,52.08,47.30,59.08,52.43,47.13,59.55,52.42,47.40,59.17,52.46,47.37,59.62,52.47,47.62,59.40,52.84,47.50,59.87,52.66,48.42,58.88,52.62,48.17,59.17,52.67,47.81,59.68,52.35,47.08,59.81,52.30,47.65,59.19,52.27,47.86,59.05,52.27,47.73,59.56,52.73,47.73,60.41
"가구분포 (%)",100.00,57.28,42.72,100.00,59.72,40.28,100.00,58.87,41.13,100.00,59.41,40.59,100.00,57.32,42.68,100.00,57.32,42.68,100.00,58.44,41.56,100.00,58.84,41.16,100.00,56.80,43.20,100.00,59.52,40.48,100.00,59.54,40.46,100.00,59.03,40.97,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"소득",4310490,5266897,3027993,4188089,4913392,3112592,4324945,5036494,3306425,4295841,4846492,3489926,4363452,5273328,3141261,4334892,5055560,3367189,4369000,5072602,3379704,4353017,4918307,3545018,4319453,5212374,3145230,4201668,4912289,3156738,4603237,5315810,3554782,4474517,5078423,3604511,4580006,5381557,3445464,4492338,4909523,3873449,4476524,5066238,3568666,4426351,5003783,3500424,4579840,5487443,3187520
"경상소득",4225448,5189122,2933209,4130260,4867934,3036420,4270077,4976894,3258332,4225632,4771798,3426280,4250646,5165885,3021250,4263406,4985741,3293465,4299377,5003445,3309427,4271699,4846417,3450223,4237322,5128443,3065465,4124187,4823593,3095747,4542110,5252082,3497482,4375143,4964036,3526766,4496116,5306592,3348939,4406990,4836117,3770384,4402361,5008442,3469306,4338945,4927601,3395022,4477493,5381132,3091255
"근로소득",2792104,4488477,517350,2728106,4215804,522112,2805548,4353349,590010,2733312,4197524,590339,2813890,4470126,589149,2587923,4107007,548118,2776200,4345676,569446,2733013,4224317,601413,2737231,4428664,512938,2687972,4149047,539538,2875556,4440679,572692,2788610,4319027,583843,2906774,4566193,557976,2684289,4103500,578902,2863555,4342226,587160,2857976,4295034,553620,3014431,4624138,545040
"사업소득",781338,193684,1569354,837158,229840,1737702,857309,195673,1804382,977609,223739,2080949,778950,200776,1555582,781957,175158,1596759,851800,183309,1791728,935379,219053,1959263,755803,174162,1520682,790395,205556,1650370,861275,200974,1832819,981336,227681,2067075,818689,202295,1691154,861731,224207,1807492,911208,224607,1968222,932224,255113,2017986,728444,215885,1514741
"재산소득",34403,30706,39361,45418,50240,38268,27709,16340,43983,25209,15704,39121,37990,30191,48465,26631,16548,40170,31000,24431,40236,24866,16715,36516,32070,23827,42911,41504,43655,38341,22997,19485,28163,24945,19128,33326,30272,20873,43576,30361,23150,41058,27964,20236,39862,26441,18463,39234,34167,24373,49192
"이전소득",617603,476254,807145,519579,372050,738337,579511,411533,819958,489502,334832,715871,619817,464792,828053,866895,687028,1108418,640378,450029,908017,578441,386332,853032,712217,501791,988934,604316,425336,867498,782281,590944,1063809,580252,398200,842522,740380,517231,1056234,830609,485259,1342932,599633,421374,874062,522304,358990,784182,700451,516736,982282
"비경상소득",85041,77775,94784,57828,45458,76172,54867,59600,48093,70209,74693,63646,112806,107443,120011,71486,69819,73724,69623,69157,70278,81318,71890,94794,82131,83931,79765,77481,88695,60991,61127,63728,57299,99373,114387,77745,83890,74965,96524,85349,73406,103065,74163,57796,99360,87405,76182,105401,102347,106311,96265
"가계지출",3489987,4063951,2720331,3206094,3670565,2517365,3404750,3890609,2709286,3296072,3747998,2634647,3262172,3763462,2588814,3195810,3636881,2603546,3278032,3711115,2669098,3221057,3653067,2603562,3243293,3761496,2561837,3242458,3719102,2541578,3406822,3883535,2705404,3282743,3715590,2659168,3318380,3834682,2587588,3261698,3672503,2652272,3421031,3787467,2856907,3319594,3714980,2685582,3520751,4083203,2657915
"소비지출",2567902,2902648,2119024,2367963,2627497,1983119,2480951,2765597,2073506,2470792,2745422,2068852,2378150,2645608,2018886,2395785,2642353,2064696,2421813,2653109,2096600,2402804,2641694,2061346,2383194,2657594,2022347,2425835,2689839,2037631,2476553,2736983,2093365,2454786,2676955,2134723,2402760,2668365,2026814,2435746,2643625,2127361,2484687,2673425,2194126,2469625,2664241,2157552,2557622,2867300,2082557
"01.식료품 · 비주류음료",344983,360889,323654,322964,337479,301442,365012,369764,358211,356348,357261,355012,368084,389973,338682,370417,383985,352199,399302,405819,390139,384720,383276,386784,366175,373841,356095,353514,365402,336034,404657,412173,393599,376173,370859,383830,354907,362088,344743,328386,329719,326408,354507,356523,351403,351322,347577,357326,325220,329183,319140
"02.주류 · 담배",36833,40519,31890,35692,38571,31422,37372,39620,34154,33788,35822,30812,34412,37165,30713,38924,42230,34486,40226,44089,34794,36448,40381,30826,36470,41329,30080,39339,43303,33510,42098,45100,37682,37607,41050,32648,35792,39005,31244,37244,40824,31932,40795,44862,34534,38239,40765,34188,35774,39252,30439
"03.의류 · 신발",135784,162040,100576,145812,170837,108704,112384,130118,86998,163792,187478,129127,97753,116271,72879,134899,159473,101900,96056,112488,72952,143417,167573,108890,106265,126225,80015,128521,148008,99867,105493,122117,81032,159188,182070,126222,110460,130123,82628,140812,157942,115400,117766,136966,88208,154206,177821,116340,116139,135179,86930
"04.주거 · 수도 · 광열",323237,332242,311162,266303,274948,253484,253635,254958,251743,272809,285616,254065,316302,322362,308163,282712,291618,270754,266032,281350,244495,278774,288316,265136,336952,351477,317849,301691,316567,279815,266300,276079,251911,270554,276293,262287,333301,345176,316491,278303,281193,274016,250155,251670,247824,267206,269856,262957,345362,353681,332600
"05.가정용품 · 가사서비스",118310,135381,95418,118924,124763,110267,109911,123632,90270,115932,129036,96753,104083,119606,83231,143147,156926,124645,131128,139180,119807,127469,139457,110334,117878,136560,93310,131988,155818,96946,137074,149329,119041,124677,135370,109273,101645,113328,85107,113105,121703,100351,118589,117268,120622,105509,111455,95975,100544,114806,78664
"06.보건",210647,207894,214338,200877,198579,204284,198620,188929,212492,211192,210985,211495,224012,227817,218900,210625,204834,218401,217000,210583,226022,230222,230406,229960,214194,215239,212820,234336,243873,220312,223536,225807,220194,233973,223608,248907,229327,226177,233785,238564,229708,251700,225756,219603,235229,228792,222569,238771,243230,234092,257250
"07.교통",288300,334865,225858,259720,304109,193898,299674,366962,203358,312594,367759,231855,268129,292860,234909,305479,347805,248644,272329,301609,231160,308813,359354,236571,263451,307038,206132,281981,315035,233377,267076,313122,199327,269054,308378,212404,247551,282054,198715,274046,324517,199173,262240,281223,233015,300611,334052,246988,303327,359723,216814
"08.통신",114190,126438,97766,119537,128211,106676,122083,134180,104767,126201,136193,111578,117540,128743,102491,115418,124471,103263,121975,132919,106587,124774,137820,106127,120989,131634,106991,120006,132958,100961,129214,142280,109989,129490,141907,111602,122177,134087,105319,123408,133160,108941,131399,141979,115113,134006,147924,111688,129379,142307,109547
"09.오락 · 문화",193763,227422,148628,176997,198031,145808,181637,207761,144244,162754,192147,119735,151981,175982,119740,141544,164848,110252,136061,155933,108120,129441,154952,92978,137404,163615,102937,146705,165879,118510,140317,160965,109937,142906,165533,110308,141309,166676,105402,171405,193170,139118,173705,192926,144114,165288,174780,150068,183325,222142,123778
"10.교육",252079,317229,164717,160725,205734,93984,238115,294839,156920,151323,189705,95148,187598,241645,114998,114327,148162,68893,206836,255919,137823,127476,160498,80277,201530,244917,144474,148535,184571,95545,218986,269185,145125,152093,190144,97274,226226,282052,147208,162947,195925,114026,233395,281279,159679,171181,214008,102506,230386,301340,121538
"11.음식 · 숙박",339546,415616,237539,346866,410804,252058,356567,422869,261662,352387,417083,257699,300758,365803,213386,333120,395978,248714,334599,395130,249489,308246,365358,226614,289331,353361,205130,336235,396316,247889,341845,399927,256385,346496,408138,257693,311044,372935,223440,367099,423213,283855,386707,444207,298186,365899,420799,277865,350426,416979,248331
"12.기타상품 · 서비스",209608,239322,169762,215057,234991,185499,203673,225507,172420,212764,235004,180214,207520,227495,180688,207277,224556,184077,197849,215732,172706,203750,216169,185999,192302,213190,164834,202768,222591,173620,198075,218842,167519,213758,234945,183235,191950,218196,154801,201353,209947,188604,192911,209465,167428,190166,206012,164758,202950,229384,162399
"비소비지출",922086,1161303,601307,838131,1043069,534246,923799,1125012,635780,825279,1002576,565794,884022,1117854,569928,800025,994528,538850,856219,1058005,572498,818253,1011373,542215,860099,1103902,539490,816623,1029263,503947,930269,1146551,612039,827957,1038636,524445,915620,1166317,560774,825951,1028878,524912,936344,1114042,662781,849969,1050739,528030,963129,1215903,575358
"처분가능소득",3388404,4105594,2426686,3349957,3870323,2578346,3401145,3911482,2670645,3470561,3843916,2924131,3479430,4155474,2571333,3534867,4061032,2828340,3512782,4014597,2807207,3534764,3906934,3002803,3459354,4108472,2605740,3385045,3883025,2652791,3672968,4169259,2942743,3646560,4039787,3080065,3664386,4215240,2884689,3666387,3880645,3348537,3540179,3952196,2905885,3576381,3953044,2972394,3616711,4271540,2612162
"흑자액",820502,1202947,307663,981995,1242827,595227,920194,1145885,597139,999769,1098494,855279,1101280,1509866,552447,1139082,1418678,763644,1090969,1361488,710607,1131960,1265240,941456,1076160,1450878,583393,959210,1193187,615161,1196415,1432276,849378,1191774,1362832,945342,1261626,1546874,857875,1230641,1237020,1221177,1055492,1278770,711759,1106757,1288803,814841,1059089,1404240,529605
"흑자율 (%)",24.2,29.3,12.7,29.3,32.1,23.1,27.1,29.3,22.4,28.8,28.6,29.2,31.7,36.3,21.5,32.2,34.9,27.0,31.1,33.9,25.3,32.0,32.4,31.4,31.1,35.3,22.4,28.3,30.7,23.2,32.6,34.4,28.9,32.7,33.7,30.7,34.4,36.7,29.7,33.6,31.9,36.5,29.8,32.4,24.5,30.9,32.6,27.4,29.3,32.9,20.3
"평균소비성향 (%)",75.8,70.7,87.3,70.7,67.9,76.9,72.9,70.7,77.6,71.2,71.4,70.8,68.3,63.7,78.5,67.8,65.1,73.0,68.9,66.1,74.7,68.0,67.6,68.6,68.9,64.7,77.6,71.7,69.3,76.8,67.4,65.6,71.1,67.3,66.3,69.3,65.6,63.3,70.3,66.4,68.1,63.5,70.2,67.6,75.5,69.1,67.4,72.6,70.7,67.1,79.7
